location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
12,260000000,4,4,5000,20.1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,20000000,4,3,2400,10,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0
17,21500000,4,3,2650,7,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
17,11000000,3,2,1500,7,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,28500000,5,4,3800,10.5,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
1,12500000,3,2,1537,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,21500000,4,4,2400,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
31,37500000,5,3,3700,12,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
1,9500000,3,2,1100,9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
16,47000000,4,3,3000,10,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0
17,22500000,4,4,2800,8,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
14,75000000,4,3,2800,10,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
17,21500000,4,3,2200,6.5,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
9,9975000,4,2,2200,11.23,1,0,0,0,0,2,1,1,1,0,1,0,0,0,1
11,32500000,4,4,3500,11,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0
28,13000000,3,3,1500,10.7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,22500000,4,4,2800,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,33000000,6,5,3900,12,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
17,16000000,3,3,1600,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,11000000,3,3,1300,6.5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
9,13500000,3,3,1650,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,105000000,5,5,6600,40,0,0,1,1,0,2,1,1,1,1,0,0,1,0,0
