location,price,beds,baths,house_size,land_size
Malabe,16000000,3,2,1600,10
Dehiwala,29000000,5,2,1600,7
Athurugiriya,6400000,2,1,1000,6
Dehiwala,40000000,4,3,3000,14
Ratmalana,9500000,3,1,1600,7
Nugegoda,40000000,3,3,2400,14.5
Colombo 10,4000000,2,2,1000,1.7
Malabe,28000000,4,5,3500,6
Malabe,68000000,6,6,5300,21
Talawatugoda,12000000,4,2,1976,6.85
Kotte,55000000,3,3,2000,20
Kesbewa,12500000,4,3,1850,9
Nugegoda,42000000,4,3,2980,8
Talawatugoda,28000000,6,4,3650,12.5
Malabe,15500000,6,3,2500,12
Dehiwala,28000000,4,2,2000,7
Piliyandala,13000000,4,2,1550,7
Kottawa,13000000,4,2,1550,7
Kesbewa,12800000,3,1,1200,7.5
Battaramulla,8000000,2,1,671,3
Malabe,7200000,2,1,1000,6
Maharagama,8000000,3,1,1950,9
Kottawa,13000000,3,3,1580,8
Kottawa,26000000,4,4,2900,10
Kottawa,17000000,4,3,2100,6.2
Malabe,46000000,5,4,3500,11.8
Kottawa,12000000,3,1,1100,6.5
Nugegoda,75000000,3,2,2000,36
Malabe,23000000,4,4,2800,9
Malabe,24000000,4,4,2900,7
Dehiwala,5500000,2,1,871,3
Battaramulla,22800000,4,4,1885,5.5
